===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=200] [Length=2466] [Word=Digest] https://play.picoctf.org/practice?Digest=1
[2KFound: [Status=200] [Length=2466] [Word=Dir] https://play.picoctf.org/practice?Dir=1
[2KFound: [Status=200] [Length=2466] [Word=Disable-Gzip] https://play.picoctf.org/practice?Disable-Gzip=1
[2KFound: [Status=200] [Length=2466] [Word=Dkim-Signature] https://play.picoctf.org/practice?Dkim-Signature=1
[2KFound: [Status=200] [Length=2466] [Word=Dir-Resource] https://play.picoctf.org/practice?Dir-Resource=1
[2KFound: [Status=200] [Length=2466] [Word=Dir-Name] https://play.picoctf.org/practice?Dir-Name=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Attachment] https://play.picoctf.org/practice?Download-Attachment=1
[2KFound: [Status=200] [Length=2466] [Word=Dnt] https://play.picoctf.org/practice?Dnt=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Bad-Url] https://play.picoctf.org/practice?Download-Bad-Url=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Bz2] https://play.picoctf.org/practice?Download-Bz2=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-Headers-Sent] https://play.picoctf.org/practice?Download-E-Headers-Sent=1
[2KFound: [Status=200] [Length=2466] [Word=Download-E-Invalid-Archive-Type] https://play.picoctf.org/practice?Download-E-Invalid-Archive-Type=1
[2KFound: [Status=200] [Length=2466] [Word=Download-Cut-Short] https://play.picoctf.org/practice?Download-Cut-Short=1
